facility_id,provider_name,grantee_code,provider_pin,state_provider_pin,npi,address1,address2,city,state,zip,molnupiravir_courses_shipped,paxlovid_courses_shipped,total_courses_shipped,geopoint
245734408768758942526904452905590999911,CVS Store #02335,CV1,002335,,1427157874,8032 C LIBERTY ROAD,CVS Pharmacy,FREDERICK,MD,21701,0,20,20,POINT (-77.39858 39.44481)
245734408771002708848109204653845662567,CVS Store #01067,CV1,001067,,1417051491,737 CAPE CORAL PKWY E,CVS Pharmacy,CAPE CORAL,FL,33904,24,20,44,POINT (-81.958495 26.563265)
245734408760262611866652839065755994983,CVS Store #08746,CV1,008746,,1043251911,300 NORTH EOLA RD,CVS Pharmacy,AURORA,IL,60502,0,20,20,POINT (-88.243989 41.75796)
242510027569206253556007518372341903240,Walgreens Store #06746,WG1,006746,,1205841509,151 NORTHWEST HWY,,CRYSTAL LAKE,IL,60014,0,20,20,POINT (-88.32568 42.2257)
245734408773896877260266626898092247911,CVS Store #02404,CV1,002404,,1679677488,417 EMORY ROAD,CVS Pharmacy,POWELL,TN,37849,0,20,20,POINT (-83.99824 36.05005)
245734408771945670987408615410116479847,CVS Store #03591,CV1,003591,,1265536163,2703 N. PONCE DELEON BLVD.,CVS Pharmacy,SAINT AUGUSTINE,FL,32084,24,20,44,POINT (-81.32474 29.9164)
245734408775340334688886494132691422055,CVS Store #05107,CV1,005107,,1700176591,1285 S. COUNTY TRAIL,CVS Pharmacy,EAST GREENWICH,RI,02818,24,20,44,POINT (-71.49831 41.66143)
242515351452945497283365092956511580084,CVS Store #08615,CV1,008615,,1871537241,1411 SUPERIOR STREET,CVS Pharmacy,LINCOLN,NE,68521,0,20,20,POINT (-96.700425 40.85694)
242515351453167939634174184724657516468,CVS Store #01123,CV1,001123,,1962506865,22 DEPOT HILL RD.,CVS Pharmacy,SOUTHBURY,CT,06488,0,20,20,POINT (-73.21782 41.47534)
242515351453484678198913217568430534580,CVS Store #09322,CV1,009322,,1831132166,2085 FAIR OAKS BLVD,CVS Pharmacy,SACRAMENTO,CA,95825,72,20,92,POINT (-121.41482 38.5743)
245734408763504950914859274512317959015,CVS Store #08645,CV1,008645,,1588607881,4501 LINCOLNWAY EAST,CVS Pharmacy,MISHAWAKA,IN,46544,80,40,120,POINT (-86.11025 41.66239)
245734408760634961019094144851565497191,CVS Store #07783,CV1,007783,,1083717839,2324 US HIGHWAY 17,CVS Pharmacy,RICHMOND HILL,GA,31324,0,20,20,POINT (-81.31339 31.95015)
242510027569905012679744774035322072968,Walgreens Store #06664,WG1,006664,ORA134025,1962417956,1840 PORTLAND RD,,NEWBERG,OR,97132,24,20,44,POINT (-122.96186 45.30137)
278573683963587828244465639947839885636,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AKA,None,AKA400195,1801899257,7000 UULA ST,C/O PHARMACY,BARROW,AK,99723,0,20,20,POINT (-156.73 71.29758)
245734408779303193525583248567378266983,CVS Store #17368,CV1,017368,,1427242569,6445 RICHFIELD PKWY,CVS Pharmacy,RICHFIELD,MN,55423,0,20,20,POINT (-93.25256 44.88548)
242510027569218342814203664664088965000,Walgreens Store #06753,WG1,006753,TXA301926,1063427169,8045 N LOOP DR,,EL PASO,TX,79915,344,60,404,POINT (-106.34841 31.729435)
245734408780681368959943925826543307623,CVS Store #17249,CV1,017249,,1982626545,6150 BAYFIELD PKWY,CVS Pharmacy,CONCORD,NC,28027,24,20,44,POINT (-80.67923 35.41701)
245734408767545181004011365214185999207,CVS Store #01093,CV1,001093,,1285732990,7001 NORTH HIGHWAY 309,CVS Pharmacy,COOPERSBURG,PA,18036,24,20,44,POINT (-75.38571 40.50662)
242515351452062981435046413658976071604,CVS Store #04015,CV1,004015,,1043313794,302 E. JAMES LEE BLVD.,CVS Pharmacy,CRESTVIEW,FL,32539,24,20,44,POINT (-86.56948 30.76233)
