Facility ID,Provider Name,Grantee Code,Provider Pin,State Provider Pin,NPI,Address1,Address2,City,State,Zip,Last Report Date,Public Website,Phone Number,Provider Status,Provider Note,Geopoint
245734408760975878100225470278832638823,CVS Store #09374,CV1,009374,,1417991761,1900 W. VALENCIA RD.,CVS Pharmacy,TUCSON,AZ,85746,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-111.00708 32.134475)
245734408760922685364162426595145567079,CVS Store #08867,CV1,008867,,1669417556,7915 FLORENCE AVENUE,CVS Pharmacy,DOWNEY,CA,90240,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-118.13079 33.95406)
242510027569716420251884891884067909512,Walgreens Store #06631,WG1,006631,TXA302341,1154338036,6350 DAVIS BLVD,,NORTH RICHLAND HILLS,TX,76180,03/25/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,ACTIVE,,POINT (-97.20971 32.86072)
242510027580741823726770309957388234632,Walgreens Store #01956,WG1,001956,,1104831106,319 VILLAGE RD NE,,LELAND,NC,28451,03/25/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,ACTIVE,,POINT (-78.00391 34.2358)
245551428030756081469767909809674951199,KROGER PHARMACY 02600532,KG1,026532,,1972537611,2449 OLD FORT PKWY,,MURFREESBORO,TN,37128,03/25/2022 12:00:00 AM,https://www.kroger.com/health/clinic,,ACTIVE,,POINT (-86.44185 35.84332)
245734408775995572483117623145382169447,CVS Store #05854,CV1,005854,,1366546343,2187 HOWLAND BLVD.,CVS Pharmacy,DELTONA,FL,32738,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-81.19109 28.92481)
244921705306286359797715497954329630468,Walmart Pharmacy #494,WM1,000494,GAAC02468,1295752616,1025 Highway 34 E,,Newnan,GA,30265,03/25/2022 12:00:00 AM,https://www.walmarthealth.com/,,ACTIVE,,POINT (-84.743865 33.39398)
245734408769798618731773033995838311271,CVS Store #01407,CV1,001407,,1710081476,3133 LEE HIGHWAY,CVS Pharmacy,ARLINGTON,VA,22201,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-77.097 38.89632)
242515351453375874875147900942706978740,CVS Store #01549,CV1,001549,,1396843850,13180 MIDLOTHIAN TURNPIKE,CVS Pharmacy,MIDLOTHIAN,VA,23113,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-77.641964 37.50303)
284490873151570603852088572559105891131,First Choice Health Center Pharmacy,HR2,HH4613,,1164055810,110 Connecticut Boulevard,PHARMACY,East Hartford,CT,06108,03/22/2022 12:00:00 AM,,,ACTIVE,,POINT (-72.649589 41.769432)
